emp_id,email,emp_name,designation
775775bc-2397-4950-823f-aeab19a5f89f,vanessa16@jmangroup.com,Jill Willis,PRINCIPAL_SOLUTION_ARCHITECT
ce69c239-1798-4a05-aba0-b9ab9b752b4f,juliamorgan@jmangroup.com,Mr. Corey Nguyen,SOLUTION_CONSULTANT
185bab1c-c62d-4183-8043-06e42023a272,kenneth74@example.org,Deanna Hall,PRINCIPAL_SOLUTION_ARCHITECT
7adeab8f-f403-4b16-8596-37e15ac03786,lisa63@example.net,Katherine Roberts,SOLUTION_CONSULTANT
06483035-e301-432c-8b19-ef0a4db4d8c5,fcaldwell@example.org,Jeffery Houston,SR_SOFTWARE_ENGINEER
64c04d8e-f27e-45f5-a6fb-1e953c365c41,nancyvillanueva@jmangroup.com,Monique Hamilton,TECHNOLOGY_SOLUTION_ARCHITECT
983ab3ec-9e60-4e32-b052-94bda4f1b007,jacksoncindy@example.net,Sarah Hubbard,PRINCIPAL_SOLUTION_ARCHITECT
8fcb9f2b-25da-4c21-a201-41a2248ef112,roberta78@example.net,Jay Wagner,SOLUTION_ENABLER
acc3c3b3-f947-47da-bec9-6c5e5e362f4c,charles46@example.org,Stephanie Cruz,SOLUTION_CONSULTANT
a65c20a6-5930-4aec-b9bf-2a9768a9fab8,watsoncheryl@jmangroup.com,Joseph Nelson,SOLUTION_CONSULTANT
51958cff-2a07-48a2-8aaf-b8aa53e87a9a,christopher60@jmangroup.com,Claudia Graves,SR_SOFTWARE_ENGINEER
3a75d201-1755-49ec-bfb6-c170e08f5652,taylorgiles@example.org,Selena Henson,SR_SOFTWARE_ENGINEER
34dbb72e-f95e-423d-ac72-5b228cfe0ea7,michaelstone@example.net,Cheryl Conrad,SR_SOFTWARE_ENGINEER
cf602b73-5259-4433-adc4-4d20ac03bcc3,nmccormick@example.net,Amy Thompson,SR_SOFTWARE_ENGINEER
f2aa6eda-1970-4727-8a1c-fcff1b41906f,wwilliams@example.org,Ryan Frank PhD,TECHNOLOGY_SOLUTION_ARCHITECT
e1858a73-d03d-4ecc-9893-342afbb75984,alvarezmelissa@jmangroup.com,Katherine Scott,SOLUTION_CONSULTANT
b74c987d-c1c1-4332-9260-fe7bd011ea01,torresjoshua@jmangroup.com,Robert Stewart,SOLUTION_CONSULTANT
d97fc098-edb4-43c7-a02b-24386b5169bb,bartonmegan@jmangroup.com,Travis Willis,SOLUTION_CONSULTANT
922831e1-959b-449d-86b9-47ce8cfebaa5,pamelawest@jmangroup.com,Curtis Davis,TECHNOLOGY_SOLUTION_ARCHITECT
09ab41de-3c47-45dc-b7be-58a0b3321270,fanderson@jmangroup.com,Natalie Turner,SR_SOFTWARE_ENGINEER
